NAF 1st Class,NAF 2nd Class,Description
5,10Z,elle est spécialisée dans le secteur d'activité de l'extraction de houille. 
5,10Z,Les Charbonnages de France sont nés en 1946 de la nationalisation des Houillères de France
5,10Z,"Opérateur du traitement du charbon, le groupe est intervenu dans toutes les phases de la chaîne charbonnière : extraction, gestion industrielle des mines, maîtrise des métiers de la préparation et de la valorisation des combustibles (notamment production de coke et d'électricité), mais aussi dans la reconstitution d'un tissu industriel sur les anciens sites."
5,10Z,La ré-industrialisation des bassins houillers en facilitant l'implantation de P.M.E.-P.M.I.
5,10Z,"L'extraction de la dernière tonne de charbon du siège La Houve, en Lorraine, en avril 2004, a mis fin à plus 250 ans d'extraction charbonnière en France. "
5,10Z,résulte du besoin de relancer la production charbonnière durant l'après-guerre (Seconde Guerre mondiale) et sa période de reconstruction
5,10Z,"Cette société a mis au point un programme destiné à lui assurer l'écoulement de 40.000 t. de fines, ce qui correspond à une extraction annuelle de 40.000 t. de charbon."
5,,L’activité minière européenne a graduellement diminué au 20ème siècle alors que le charbon a cessé d’être la source majeure d’énergie et que l’extraction des autres matières premières a été moins compétitive dans un monde de plus en plus globalisé
19,10Z,elle est spécialisée dans le secteur d'activité de la cokéfaction
19,10Z,Les activités industrielles du site ont débuté en 1893 sous l’administration prussienne par la société des houillères « Saar und Mosel » (Sarre et Moselle) grâce au forçage du puits VI de L’Hôpital et par l’exploitation de la houille. 
19,10Z,"Le site comprenait alors les installations d'extraction du charbon et de pompage des eaux, un lavoir, une gare et une briqueterie. "
19,10Z,En 1904 l’on construit la première batterie de fours de cokéfaction et les activités de cette nouvelle cokerie vont se développer dès 1905. 
19,10Z,C’est la première cokerie du Bassin Houiller Lorrain et elle est alors appelée Kokerei Schacht 6 (cokerie du puits 6) ou Kokerei von Spittel-in-Lothringen (cokerie de L’Hôpital-en-Lorraine).
19,10Z,"En 2009, 400 000 tonnes de stock de coke invendu s’accumulent à la cokerie."
19,10Z,"Rogesa a acquis la cokerie en 2003 pour alimenter ses trois hauts-fourneaux sarrois, dont la production a reculé de 40 % au cours des derniers mois."
19,10Z,Il est impossible d'entasser indéfiniment du coke qui ne se vend plus
19,10Z,"La cokerie était équipée en 2004 de deux unités de fours droits, Carling 2 et Carling 3, d'une capacité globale de production de 900 000 tonnes de coke par an."
19,10Z,les eaux ammoniacales et polluées de la cokerie transitaient par cette lagune avant d’être rejetées dans la Merle (ruisseau)
19,10Z,si les anciennes cokes de Carling étaient vouées à un futur industriel
19,20Z,MINERVA-OIL® offre la souplesse et l’efficacité d’une structure nationale totalement indépendante et tous les avantages d’une entreprise familiale à taille humaine proche de vous.
19,20Z,MINERVA-OIL® peut traiter plus de 3000 emballages/heure et commercialiser plus de 16 000 TONNES/an de lubrifiants soit plus de 3% du marché national.
19,20Z,"MINERVA-OIL® profite de ses partenariats techniques pour tester, développer, améliorer ses lubrifiants dans les conditions les plus extrêmes."
19,20Z,"Avec l'investissement d'un mélangeur, l'entreprise se dirige vers la fabrication de lubrifiants à sa marque."
19,20Z,La société accroît son stockage en huiles de base à 300 tonnes.
19,20Z,Investissement de deux conditionneuses pouvant traiter plus de 3000 bidons/heure.
19,20Z,Création d'une nouvelle ligne de fabrication grande capacité sur pesons 5T.
19,20Z,Mise en service d’un nouveau mélangeur sur pesons grande capacité.
19,20Z,La raffinerie d'Alger est une raffinerie de pétrole située à Sidi R'cine à l'est d'Alger en Algérie.
19,20Z,"La raffinerie d'Alger est inaugurée par Ahmed Ben Bella le 15 avril 1964, avec une capacité de raffinage de 2 500 000 tonnes de pétrole brut par an2."
19,20Z," la réhabilitation de la raffinerie est confiée au groupe français Technip, pour un montant de 67,8 milliards de dinars"
19,20Z,"la réhabilitation de la raffinerie est réattribuée au groupe chinois China Petroleum Engineering and Construction (CPECC), pour un montant de 45,5 milliards de dinars."
19,20Z,Les travaux visent à augmenter de 35% les capacités de raffinage
19,20Z,La raffinerie d'Alger traite 3.6 millions de tonnes par an de pétrole brut saharien.
19,20Z,La production est au norme Euro V
19,20Z,elle permet de couvrir 95% des besoins en carburants de la région Centre en Algérie
19,20Z,"Oléotechnique est une filiale du groupe Tec Investissements. Son activité est entièrement dédiée au développement, à la fabrication et à la commercialisation de lubrifiants"
