,naf,text
0,01," CULTURE ET PRODUCTION ANIMALE, CHASSE ET"
1,01,"CULTURES NON PERMANENTES Ce groupe comprend les cultures non permanentes, c'est-à-dire les plantes dont la durée de vie ne dépasse pas deux saisons de croissance végétale. La culture de ces plantes aux fins de la production de semences est comprise. "
2,01,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
3,01,"Z       Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses Cette sous-classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette sous-classe comprend : la culture de céréales telles que : • blé • maïs-grain • sorgho • orge • seigle • avoine • millet • autres céréales n.c.a. la culture de légumineuses telles que : • haricots • fèves • pois chiches • pois à vache • lentilles • lupins • pois  Section A : PRODUITS DE L'AGRICULTURE, DE LA SYLVICULTURE ET DE LA PÊCHE    PRODUITS DE L'AGRICULTURE ET DE LA CHASSE ET SERVICES ANNEXES    "
4,01,CULTURES NON PERMANENTES   
5,01,"Céréales (à l'exclusion du riz), légumineuses et oléagineux CC : - céréales (à l'exclusion du riz), légumineuses et oléagineux propres à l'alimentation humaine, animale ou à usage industriel CA : - semences des plantes correspondantes "
6,01,Blé
7,01,Blé dur CC : - froment dur 
8,01,"Blé, à l'exclusion du blé dur CC : - froment commun, tendre ou semi-dur CA : - méteil "
9,01,Maïs
10,01,Maïs CC : - maïs
11,01,"Orge, seigle et avoine"
12,01,Orge CC : - orge CA : - orge de brasserie et de mouture 
13,01,Seigle CC : - seigle     • pois cajans • autres légumineuses la culture de graines oléagineuses telles que : • graines de soja • arachides • graines de ricin • graines de lin • graines de moutarde • graines de niger • graines de colza • graines de carthame • graines de sésame • graines de tournesol • autres graines oléagineuses 
14,01,"p, 01.11.42p, 01.11.43p, 01.11.49p, 01.11.50p, 01.11.61p,"
15,01,"p, 01.11.69p, 01.11.71p, 01.11.72p, 01.11.73p, 01.11.74p,"
16,01,"p, 01.11.76p, 01.11.77p, 01.11.79p, 01.11.81p, 01.11.82p,"
17,01,"p, 01.11.92p, 01.11.93p, 01.11.94p, 01.11.95p, 01.11.96p,"
18,01,p    
19,01,Avoine CC : - avoine 
20,01,"Sorgho, millet et autres céréales"
21,01,Sorgho CC : - sorgho
22,01,Millet CC : - millet 
23,01,Triticale CC : - triticale 
24,01,Autres céréales CC : - sarrasin et autres céréales 
25,01,Paille et balles de céréales
26,01,"Paille et balles de céréales CC : - paille et balles de céréales CA : - les pailles brutes, même hachées, moulues, pressées ou agglomérées sous forme de pellets"
27,01,"Légumes à cosse, verts"
28,01,"Haricots, verts CC : - haricots verts "
29,01,"Pois, verts CC : - petits pois CA : - les petits pois et les pois fourragers "
30,01,"Autres légumes à cosse, verts CC : - autres légumes à cosse, verts"
31,01,"Légumes à cosse, secs CC : - les légumes à cosse, secs, avec ou sans cosse, cassés ou non "
32,01,"Haricots, secs CC : - haricots secs "
33,01,"Fèves, sèches CC : - fèves, féveroles "
34,01,"Pois chiches, secs CC : - pois chiches "
35,01,"Lentilles, sèches CC : - lentilles "
36,01,"Pois, secs CC : - Pois secs "
37,01,"Dolique à œil noir (Pois du Brésil, Niébé) CC : - mongette, bannette "
38,01,"Pois d'Ambrevade ou pois d'Angole, secs CC : - pois cajan "
39,01,"Légumes à cosse, secs n.c.a. CC : - autres légumes à cosse"
40,01,Fèves de soja et arachides           
41,01,Culture du riz
42,01,Z   Culture du riz Cette sous-classe comprend : la culture du riz 
43,01,"Culture de légumes, de melons, de racines et de tubercules"
44,01,"Z   Culture de légumes, de melons, de racines et de tubercules Cette sous-classe comprend : la culture des légumes à feuilles et à tiges, tels que : • artichauts • asperges • choux • choux-fleurs et brocolis • laitues et chicorées • épinards • autres légumes à feuilles et à tiges la culture de plantes cultivées pour leurs fruits, telles que : • concombres et cornichons • aubergines • tomates • pastèques • melons cantaloups • autres melons et plantes cultivées pour leurs fruits : la culture des légumes à racines, à bulbes ou à tubercules, tels que : • carottes • navets • ail • oignons (et échalotes) • poireaux et autres légumes alliacés • autres légumes à racines, à bulbes ou à tubercules la culture des champignons et des truffes   "
45,01,Fèves de soja CC : - Graines ou fèves de soja 
46,01,"Arachides, en coque CC : - arachides en coque"
47,01,Autres oléagineux
48,01,Graines de lin CC : - graines de lin 
49,01,Graines de moutarde CC : - graines de moutarde 
50,01,Graines de colza CC : - graines de colza 
51,01,Graines de sésame CC : - graines de sésame 
52,01,Graines de tournesol CC : - graines de tournesol 
53,01,Graines de ricin CC : - graines de ricin 
54,01,Autres oléagineux n.c.a. CC : - autres oléagineux n.c.a. 
55,01,"Riz, non décortiqué"
56,01,"Riz, non décortiqué"
57,01,"Riz, non décortiqué CC : - riz paddy, non décortiqué   "
58,01,"Légumes et melons, racines et tubercules"
59,01,Légumes à feuilles ou à tiges
60,01,Asperges CC : - asperges 
61,01,Choux CC : - choux 
62,01,Choux-fleurs et brocolis CC : - choux-fleurs et brocolis 
63,01,Laitues CC : - laitues 
64,01,Chicorées CC : - chicorées
65,01,Épinards CC : - épinards 
66,01,Artichauts CC : - artichauts 
67,01,"Autres légumes à feuilles ou à tiges CC : -   salades, cardes, cardons, fenouil autres légumes à feuilles ou à tiges CA : -   le persil"
68,01,"p, 01.13.19p, 01.13.21p, 01.13.29p, 01.13.31p, 01.13.32p,"
69,01,"p, 01.13.34p, 01.13.39p, 01.13.41p, 01.13.42p, 01.13.43p,"
70,01,"p, 01.13.49p, 01.13.51p, 01.13.52p, 01.13.53p, 01.13.54p,"
71,01,"p, 01.13.60p, 01.13.71p, 01.13.72p, 01.13.80p, 01.13.90p    "
72,01,Melons
73,01,Pastèques CC : - pastèques 
74,01,Autres melons CC : - autres melons 
75,01,Autres légumes à fruits
76,01,"Piments et poivrons, verts (uniquement capsicum) CC : - piments et poivrons verts ou autres"
77,01,Concombres et cornichons CC : - concombres et cornichons 
78,01,Aubergines CC : - aubergines 
79,01,Tomates CC : - tomates 
80,01,"Autres légumes à fruits n.c.a. CC : - courgette, maïs doux, citrouilles, courges autres légumes à fruits n.c.a. CA : - les légumes à fruits du genre Pimenta "
81,01,"Légumes à racine, à bulbe ou à tubercules"
82,01,Carottes et navets CC : - carottes et navets 
83,01,Ail CC : - ail 
84,01,Oignons CC : - oignons et échalotes 
85,01,Poireaux et autres alliacés CC : - poireaux et autres alliacés CA : - la ciboule et la ciboulette 
86,01,"Autres légumes à racine, à bulbe ou à tubercules (ne présentant pas une forte teneur en amidon ou inuline) CC : - céleris-raves, raifort et autres légumes à racine, à bulbe ou à tubercules CA : - les betteraves à salade"
87,01,Racines et tubercules à amidon ou inuline comestibles
88,01,"Pommes de terre CC : - pommes de terre de conservation, de féculerie ou de primeurs CA : - plants de pommes de terre "
89,01,Patates douces CC : - patates douces 
90,01,Manioc CC : - manioc 
91,01,"Colocases CC : - colocases, taros "
92,01,"Autres racines et tubercules à amidon ou inuline comestibles CC : - topinambours, ignames autres racines et tubercules à amidon ou inuline"
93,01,"Plants et semences potagers, à l'exclusion des semences de betteraves           "
94,01,Culture de la canne à sucre
95,01,Z   Culture de la canne à sucre Cette sous-classe comprend : la culture de la canne à sucre 
96,01,Culture du tabac
97,01,Z   Culture du tabac Cette sous-classe comprend : la culture du tabac 
98,01,Culture de plantes à fibres
99,01,"Z   Culture de plantes à fibres Cette sous-classe comprend : la culture du coton la culture de jute, de kenaf et d'autres fibres textiles libériennes la culture de lin ou de chanvre la culture de sisal et d'autres fibres textiles du genre agave la culture de l'abaca, de la ramie et d'autres fibres textiles végétales la culture d'autres plantes à fibres "
100,01,Autres cultures non permanentes 
101,01,"Plants et semences potagers, à l'exclusion des semences de betteraves CC : - plants et semences potagers"
102,01,Betteraves à sucre et semences de betteraves à sucre
103,01,Betteraves à sucre CC : - betteraves à sucre 
104,01,Semences de betteraves à sucre CC : - semences de betteraves à sucre
105,01,Champignons et truffes
106,01,"Champignons et truffes CC : - champignons de couche ou forestiers, truffes "
107,01,Légumes frais n.c.a.
108,01,Légumes frais n.c.a. CC : - céleris et autres légumes frais n.c.a.
109,01,Cannes à sucre
110,01,Cannes à sucre
111,01,Cannes à sucre CC : - cannes à sucre    
112,01,Tabac brut
113,01,Tabac brut
114,01,"Tabac brut CC : - tabac brut, séché, non écoté"
115,01,Plantes textiles
116,01,Plantes textiles
117,01,"Coton, égrené ou en masse CC : - coton, égrené ou en masse, non cardé ou peigné CA : - graines de coton"
118,01,"Jute, kénaf et autres fibres libériennes, bruts ou rouis, à l'exclusion du lin, du chanvre commun et de la ramie CC : - jute, kénaf et autres fibres libériennes, bruts ou rouis"
119,01,"Lin, chanvre commun et plantes textiles brutes n.c.a. CC : - lin, chanvre commun sisal, coco, abaca, ramie, etc., bruts"
120,01,Autres cultures non permanentes 
121,01,"Z   Autres cultures non permanentes Cette sous-classe comprend : la culture de rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires la production de graines de betteraves fourragères et de graines de plantes fourragères la culture de fleurs, y compris la production de fleurs coupées et de boutons de fleurs la production de semences de fleurs "
122,01,"CULTURES PERMANENTES Ce groupe comprend les cultures permanentes, c'est-à-dire les plantes dont la durée de vie est supérieure à deux saisons de croissance végétale et qui perdent leurs feuilles après chaque saison ou dont la croissance est continue. La culture de ces plantes aux fins de la production de semences est incluse. "
123,01,Culture de la vigne
124,01,Z   Culture de la vigne Cette sous-classe comprend : la production de raisins de cuve et de raisins de table dans des vignobles 
125,01,Culture de fruits tropicaux et subtropicaux
126,01,Z   Culture de fruits tropicaux et subtropicaux Cette sous-classe comprend : la culture de fruits tropicaux et subtropicaux : • avocats • bananes et plantains • dattes • figues • mangues • papayes • ananas 
127,01,Plantes fourragères
128,01,"Plantes fourragères CC : - rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires"
129,01,Fleurs coupées et boutons de fleurs ; semences florales
130,01,"Fleurs coupées et boutons de fleurs CC : - roses, œillets, chrysanthèmes, tulipes, garnitures, etc. CA : - fleurs séchées non transformées"
131,01,Semences florales CC : - semences florales
132,01,"Semences de betteraves et de plantes fourragères, autres produits végétaux bruts"
133,01,Semences de betteraves (à l'exclusion des semences de betteraves à sucre) et de plantes fourragères CC : - semences de betteraves et de plantes fourragères semences de gazon
134,01,"Produits végétaux bruts n.c.a. CC : - noyaux et amandes de fruits et autres produits végétaux bruts, destinées principalement à la consommation humaine CA : - rooibos"
135,01,CULTURES PERMANENTES    
136,01,Raisin
137,01,Raisin
138,01,Raisin de table CC : - raisin de table
139,01,"Autre raisin, frais CC : - raisin destiné à faire du jus de raisin"
140,01,Fruits tropicaux et subtropicaux
141,01,Fruits tropicaux et subtropicaux
142,01,Avocats CC : - avocats 
143,01,"Bananes, bananes plantains et assimilés CC : - bananes "
144,01,Dattes CC : - dattes     • autres fruits tropicaux et subtropicaux 
145,01,Culture d'agrumes
146,01,"Z   Culture d'agrumes Cette sous-classe comprend : la culture d'agrumes : • pamplemousses et pomelos • citrons et limettes • oranges • tangerines, mandarines et clémentines • autres agrumes "
147,01,Culture de fruits à pépins et à noyau
148,01,Z   Culture de fruits à pépins et à noyau Cette sous-classe comprend : la culture de fruits à pépins et à noyau : • pommes • abricots • cerises et griottes • pêches et nectarines • poires et coings • prunes et prunelles • autres fruits à pépins et à noyau 
149,01,"p, 01.24.27p, 01.24.28p, 01.24.29p    "
150,01,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
151,01,Z   Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque Cette sous-classe comprend : la culture de baies : • myrtilles • groseilles 
152,01,Figues CC : - figues
153,01,"Autres fruits tropicaux et subtropicaux CC : - ananas, mangues, goyaves, papayes, fruits de la passion, etc. "
154,01,Agrumes
155,01,Agrumes
156,01,Pomelos et pamplemousses CC : - pamplemousses 
157,01,Citrons et limes CC : - citrons 
158,01,Oranges CC : - oranges 
159,01,Mandarines et clémentines CC : - mandarines et clémentines 
160,01,Autres agrumes CC : - autres agrumes 
161,01,Fruits à pépins et à noyau
162,01,Pommes
163,01,Pommes CC : - pommes 
164,01,Autres fruits à pépins et à noyau
165,01,Poires CC : - poires 
166,01,Coings CC : - coings 
167,01,Abricots CC : - abricots 
168,01,Cerises CC : - cerises 
169,01,Pêches CC : - pêches 
170,01,Nectarines CC : - nectarines 
171,01,Prunes CC : - prunes 
172,01,Prunelles CC : - prunelles 
173,01,Autres fruits à pépins et à noyau n.c.a. CC : - autres fruits à pépins et à noyau n.c.a. 
174,01,Autres fruits d'arbres ou d'arbustes et fruits à coque
175,01,Baies et fruits du genre vaccinium
176,01,Kiwis CC : - kiwis     • groseilles à maquereaux • kiwis • framboises • fraises • autres baies la production de semences de fruits la production de fruits à coque comestibles : • amandes • noix de cajou • châtaignes • noisettes • pistaches • noix communes • autres fruits à coque la culture de caroubes et d'autres fruits d'arbres ou d'arbustes 
177,01,"p, 01.25.33p, 01.25.34p, 01.25.35p, 01.25.39p, 01.25.90p    "
178,01,Culture de fruits oléagineux
179,01,Z   Culture de fruits oléagineux Cette sous-classe comprend : la culture de fruits oléagineux : • noix de coco • olives • palmiers à huile • autres fruits oléagineux 
180,01,Culture de plantes à boissons
181,01,Z   Culture de plantes à boissons Cette sous-classe comprend : la culture de plantes à boissons : • café  
182,01,Framboises CC : - framboises 
183,01,Fraises CC : - fraises 
184,01,"Autres baies, fruits du genre vaccinium n.c.a. CC : - airelles, myrtilles, groseilles canneberges "
185,01,Semences fruitières
186,01,Semences fruitières CC : - semences fruitières 
187,01,"Fruits à coque (à l'exclusion des noix sauvages, arachides et noix de coco)"
188,01,Amandes CC : - amandes 
189,01,Châtaignes et marrons CC : - châtaignes et marrons 
190,01,Noisettes CC : - noisettes 
191,01,Pistaches CC : - pistaches 
192,01,Noix CC : - noix 
193,01,"Autres fruits à coque (à l'exclusion des noix sauvages, arachides et noix de coco) CC : - noix de cajou, du Brésil, de Pécan, graines de pignon doux, etc. "
194,01,Autres fruits d'arbres ou d'arbustes n.c.a.
195,01,"Autres fruits d'arbres ou d'arbustes n.c.a. CC : - caroubes, gaines de caroubes et autres fruits d'arbres et d'arbustes n.c.a. "
196,01,Fruits oléagineux
197,01,Olives
198,01,Olives de table CC : - olives de table 
199,01,Olives à huile CC : - olives à huile 
200,01,Noix de coco
201,01,Noix de coco CC : - noix de coco 
202,01,Autres fruits oléagineux
203,01,"Autres fruits oléagineux CC : - coprah, noix et amandes de palmiste et autres fruits oléagineux "
204,01,Plantes à boissons
205,01,Plantes à boissons
206,01,"Café vert, en cerise ou en grain CC : - café vert en cerise ou en grain, ni grillé, ni décaféiné    •   thé •   maté •   cacao •   autres plantes à boissons "
207,01,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
208,01,"Z   Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques Cette sous-classe comprend : les cultures permanentes et non permanentes de plantes à épices et aromatiques : • poivre • piments et poivrons • noix muscades, macis, amomes et cardamomes • anis, badiane et fenouil • cannelle • clous de girofle • gingembre • vanille • houblon • autres plantes à épices et aromatiques la culture de plantes médicinales et narcotiques la culture de matières végétales utilisées principalement en parfumerie ou à usage insecticide, parasiticide ou similaire "
209,01,"p, 01.28.18p, 01.28.19p, 01.28.20p, 01.28.30p    "
210,01,Autres cultures permanentes
211,01,Z   Autres cultures permanentes Cette sous-classe comprend : la culture d'hévéas pour la récolte de latex la culture d'arbres de Noël la culture d'arbres pour l'extraction de sève la culture de matières végétales destinées à la vannerie    
212,01,"Thé en feuilles CC : - thé vert ou fermenté (thé noir), non conditionné "
213,01,Maté en feuilles CC : - maté en feuilles 
214,01,"Cacao en fèves CC : - cacao en fèves, brut ou grillé, et brisures de fèves "
215,01,"Plantes à épices, aromatiques, médicinales et pharmaceutiques"
216,01,"Épices, brutes"
217,01,"Poivre (piper spp.), brut CC : - poivre "
218,01,"Piments et poivrons (capsicum spp.) séchés, bruts CC : - piments et poivrons"
219,01,"Muscade, macis et cardamome, bruts CC : - muscade, macis et cardamome "
220,01,"Anis, badiane, coriandre, cumin, carvi, fenouil et genièvre, bruts CC : - anis, badiane, coriandre, cumin, carvi, fenouil et genièvre "
221,01,"Cannelle, brute CC : - cannelle "
222,01,"Clous de girofle (entiers), bruts CC : - clous de girofles "
223,01,"Gingembre séché, brut CC : - gingembre séché "
224,01,"Vanille, brute CC : - vanille "
225,01,"Autres épices, brutes CC : - câpres, thym, safran, feuilles de laurier, etc. CA : - racines de chicorée les épices brutes du genre Pimenta "
226,01,Houblon en cônes
227,01,Houblon en cônes CC : - houblon en cônes 
228,01,"Plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires"
229,01,"Plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires CC : -   racines de réglisse et de gingembre ; menthe, sauge, lavande, etc. pavot, cannabis, feuilles de coca CA : -   plantes insecticides ou antiparasitaires"
230,01,Autres cultures permanentes
231,01,Caoutchouc naturel brut
232,01,"Caoutchouc naturel brut CC : - caoutchouc naturel brut tel que latex, feuilles fumées, crêpes"
233,01,Arbres de noël coupés
234,01,Arbres de noël coupés CC : - arbres de Noël coupés 
235,01,REPRODUCTION DE PLANTES   
236,01,Reproduction de plantes
237,01,"Z   Reproduction de plantes Cette sous-classe comprend la production de tout type de matières végétales destiné à la propagation des végétaux, y compris boutures, drageons et semis, en vue de la propagation directe des plantes ou par l'intermédiaire de greffons.  Cette sous-classe comprend : la culture de plantes destinées à la plantation la culture de plantes destinées à l'ornementation, y compris le gazon en rouleaux la culture de plantes vivantes pour la production de bulbes, tubercules ou racines, de boutures et greffons, de blanc de champignon l'exploitation de pépinières, à l'exception des pépinières forestières "
238,01,"PRODUCTION ANIMALE Ce groupe comprend l'élevage de tous les animaux, à l'exception des animaux aquatiques. "
239,01,Élevage de vaches laitières
240,01,Z   Élevage de vaches laitières Cette sous-classe comprend : l'élevage de vaches laitières la production de lait cru de vache ou de bufflonne 
241,01,Élevage d'autres bovins et de buffles
242,01,"Z   Élevage d'autres bovins et de buffles Cette sous-classe comprend : l'élevage de bovins et de buffles pour leur viande la production de sperme d'animaux de l'espèce bovine l'élevage de bovins pour le trait, la tauromachie, etc.  Cette sous-classe comprend aussi : des activités spécialisées telles que celles des naisseurs, emboucheurs, etc.  "
243,01,"Matières premières végétales utilisées principalement pour la vannerie, le rembourrage, la teinture ou le tannage"
244,01,"Matières premières végétales utilisées principalement pour la vannerie, le rembourrage, la teinture ou le tannage CC : - écorces et autres matières végétales pour la teinture et le tannage : rotin, bambou, osier, roseau, jonc, raphia, chiendent, kapok, crin végétal, etc., pour vannerie, sparterie, cannage ou rembourrage"
245,01,"PLANTS : PLANTS DE PÉPINIÈRE, BULBES, TUBERCULES ET RHIZOMES, BOUTURES ET GREFFONS ; BLANC DE CHAMPIGNON"
